Age,Year,Population
4,1867,51684
5,1867,49557
6,1867,46509
7,1867,48486
8,1867,47848
9,1867,46938
10,1867,42315
11,1867,40261
12,1867,39800
13,1867,42523
14,1867,38553
15,1867,35899
16,1867,37463
17,1867,37654
18,1867,38902
19,1867,35695
20,1867,33554
21,1867,32551
22,1867,34513
23,1867,35676
24,1867,33190
25,1867,33924
26,1867,31702
27,1867,32546
28,1867,29831
29,1867,28628
30,1867,29315
31,1867,30474
32,1867,31315
33,1867,31499
34,1867,31127
35,1867,27812
36,1867,25724
37,1867,27861
38,1867,28994
39,1867,27523
40,1867,25090
41,1867,28040
42,1867,28768
43,1867,26977
44,1867,27934
45,1867,26674
46,1867,25159
47,1867,22999
48,1867,21914
49,1867,22163
50,1867,21158
51,1867,21882
52,1867,20873
53,1867,18343
54,1867,15740
55,1867,18227
56,1867,18207
57,1867,16628
58,1867,13012
59,1867,13398
60,1867,14118
61,1867,13219
62,1867,13344
63,1867,13045
64,1867,12268
65,1867,12546
66,1867,10407
67,1867,9220
68,1867,10220
69,1867,10015
70,1867,9541
71,1867,9255
72,1867,7687
73,1867,8022
74,1867,6716
75,1867,6670
76,1867,5326
77,1867,4467
78,1867,3819
79,1867,3515
80,1867,1960
81,1867,2530
82,1867,1853
83,1867,1624
84,1867,1078
85,1867,1050
86,1867,704
87,1867,785
88,1867,359
89,1867,306
90,1867,462
91,1867,287
92,1867,0
93,1867,0
94,1867,0
95,1867,0
96,1867,0
97,1867,0
98,1867,0
99,1867,0
100,1867,0
101,1867,0
102,1867,0
103,1867,0
104,1867,0
105,1867,0
106,1867,0
107,1867,0
108,1867,0
109,1867,0
0,1868,49389
1,1868,52519
2,1868,55219
3,1868,53014
4,1868,52553
5,1868,50815
6,1868,48857
7,1868,45919
8,1868,47962
9,1868,47365
10,1868,46509
11,1868,41965
12,1868,39960
13,1868,39504
14,1868,42217
15,1868,38250
16,1868,35551
17,1868,37036
18,1868,37152
19,1868,38331
20,1868,35086
21,1868,32935
22,1868,31963
23,1868,33905
